"cornellnumber","name","generationdescription","sex_male.1_","mother","father","notes"
"F03F111","6807(03)","aggr","1",NULL,NULL,NULL
"F03F169","6811(03)","aggr","1",NULL,NULL,NULL
"F03F340","Pritti_03","tame","2",NULL,NULL,NULL
"F03F352","Aslan_03","tame","1",NULL,NULL,NULL
"F03F355","Pinkerton_03","tame","1",NULL,NULL,NULL
"F03S098","Drel","tame","2",NULL,NULL,NULL
"F03S130","Avantyura","tame","2",NULL,NULL,NULL
"F03S134","Plani","tame","2",NULL,NULL,NULL
"F03S136","6576","aggr","2",NULL,NULL,NULL
"F03S173","Larek","tame","1",NULL,NULL,NULL
"F03S207","6555","aggr","1",NULL,NULL,NULL
"F04F014","6913(04)","aggr","1",NULL,NULL,NULL
"F04F047","6942(04)","aggr","2",NULL,NULL,NULL
"F04F056","6903(04)","aggr","1",NULL,NULL,NULL
"F04F137","6970(04)","aggr","2",NULL,NULL,NULL
"F04F645","Eola_04","tame","2",NULL,NULL,NULL
"F04F656","Schuya_04","tame","2",NULL,NULL,"resolved FH3320 207v208"
"F04F683","Ahiles","tame","1",NULL,NULL,NULL
"F05F011","Zhinka_04","F1","2","F03S136","F03S173",NULL
"F05F020","Zhabava_04","F1","2","F05F484","F04F683",NULL
"F05F032","Davida_04","F1","2","F03S098","F05F442",NULL
"F05F034","Agapa_04","F1","2","F03S130",NULL,NULL
"F05F090","Pavlina_04","F1","2","F03S134","F03S207",NULL
"F05F299","Taina_05","F1","2","F08F288","F05F588",NULL
"F05F301","Troya_05","F1","2","F05F492",NULL,NULL
"F05F302","Tosya_05","F1","2","F05F492","F05F588",NULL
"F05F303","Tina_05","F1","2","F05F492","F05F588",NULL
"F05F305","Tikusa_05","F1","2","F05F484","F05F526",NULL
"F05F307","Tuta_05","F1","2","F05F484","F05F526",NULL
"F05F309","Timur_05","F1","1","F05F484","F05F532",NULL
"F05F311","Lita_05","F1","2","F05F506","F05F437",NULL
"F05F312","Luidgi_05","F1","2","F05F506","F05F437",NULL
"F05F314","Levon_05","F1","1","F05F506","F05F437",NULL
"F05F316","Lukas_05","F1","1","F05F506","F05F437",NULL
"F05F317","Lopas_05","F1","1","F05F506","F05F437",NULL
"F05F319","Delava_05","F1","2","F05F511","F05F594",NULL
"F05F320","Djonrid_05","F1","1","F05F511","F05F594",NULL
"F05F323","Daniya_05","F1","2","F05F511","F05F594",NULL
"F05F325","Dota_05","F1","2","F05F505","F05F439",NULL
"F05F326","Drapa_05","F1","2","F05F505","F05F439",NULL
"F05F328","Dastin_05","F1","1","F05F505","F05F439",NULL
"F05F329","Daedalus_05","F1","1","F05F505","F05F439",NULL
"F05F332","Dgamilya_05","F1","2","F05F539","F05F436",NULL
"F05F334","Dinat_05","F1","1","F05F539","F05F436",NULL
"F05F335","Evridika_05","F1","2","F05F500","F05F439",NULL
"F05F336","Evklit_05","F1","1","F05F500","F05F439",NULL
"F05F436","6813(03)","aggr","1",NULL,NULL,NULL
"F05F437","6819(03)","aggr","1",NULL,NULL,NULL
"F05F439","6817(03)","aggr","1",NULL,NULL,NULL
"F05F442","6825","aggr","1",NULL,NULL,NULL
"F05F479","6866(03)","aggr","2",NULL,NULL,NULL
"F05F484","6888(03)","aggr","2",NULL,NULL,NULL
"F05F492","6808(03)","aggr","2",NULL,NULL,NULL
"F05F500","Ebi_03","tame","2",NULL,NULL,NULL
"F05F505","Dorna_03","tame","2",NULL,NULL,NULL
"F05F506","Lara_03","tame","2",NULL,NULL,NULL
"F05F511","Dezhi_03","tame","2",NULL,NULL,NULL
"F05F512","Amanda_03","tame","2",NULL,NULL,NULL
"F05F526","Ekim_99","tame","1",NULL,NULL,"one copy got called F05F532"
"F05F532","Baron_03","tame","1",NULL,NULL,"orig assn pat of F05F307, wrong"
"F05F539","Dina_99","tame","2",NULL,NULL,NULL
"F05F558","Asirius_05","F1","1",NULL,NULL,NULL
"F05F560","Agnat_05","F1","1","F05F590","F05F439",NULL
"F05F562","Agana_05","F1","2","F05F590","F05F439",NULL
"F05F563","Aval_05","F1","1","F05F590","F05F439",NULL
"F05F564","Avsey_05","F1","1","F05F590","F05F439",NULL
"F05F565","Angela_05","F1","2","F05F591","F05F437",NULL
"F05F566","Agita_05","F1","2","F05F591","F05F437",NULL
"F05F567","Ada_05","F1","2","F05F591","F05F437",NULL
"F05F579","Teya_05","F1","2","F05F592","F05F587",NULL
"F05F580","Tema_05","F1","2","F05F592","F05F587",NULL
"F05F587","Altay_04","tame","1",NULL,NULL,NULL
"F05F588","Dunay_04","tame","1",NULL,NULL,NULL
"F05F590","Aglaida_04","tame","2",NULL,NULL,NULL
"F05F591","Azha_04","tame","2",NULL,NULL,NULL
"F05F592","6926(04)","aggr","2",NULL,NULL,NULL
"F05F594","6711(02)","aggr","1",NULL,NULL,NULL
"F06F451","Red_06","F1","1","F04F047","F03F352",NULL
"F06F452","Roka_06","F1","2","F04F047","F03F352",NULL
"F06F455","Reya_06","F1","2","F04F047","F03F352",NULL
"F06F456","Rif_06","F1","1","F04F047","F03F352",NULL
"F06F458","Rubrika_06","F1","2","F05F479","F05F587",NULL
"F06F460","River_06","F1","1","F05F479","F05F587",NULL
"F06F465","Pele_06","F1","1","F03F340","F04F014",NULL
"F06F469","Dulut_06","F1","1","F05F511","F05F439",NULL
"F06F471","Devon_06","F1","1","F05F511","F05F439",NULL
"F06F472","Djuna_06","F1","2","F05F511","F05F439",NULL
"F06F478","Schtok_06","F1","1","F04F656","F03F169",NULL
"F06F479","Schelf_06","F1","1","F04F656","F03F169",NULL
"F06F483","Elba_06","F1","2","F04F645","F04F056",NULL
"F06F485","Emira_06","F1","2","F04F645","F04F056",NULL
"F06F486","Eon_06","F1","1","F04F645","F04F056",NULL
"F06F487","Eri_06","F1","2","F04F645","F04F056",NULL
"F06F489","Epoha_06","F1","2","F04F645","F04F056",NULL
"F06F490","Efes_06","F1","1","F04F645","F04F056",NULL
"F06F491","5f","F2","2","F05F326","F05F317",NULL
"F06F492","4f","F2","2","F05F326","F05F317",NULL
"F06F493","3m","F2","1","F05F326","F05F317",NULL
"F06F494","2f","F2","2","F05F326","F05F317",NULL
"F06F495","1m","F2","1","F05F326","F05F317",NULL
"F06F496","6m","F2","1","F05F326","F05F317",NULL
"F06F497","6m","F2","1","F05F335","ped8sire",NULL
"F06F498","5f","F2","2","F05F335","ped8sire",NULL
"F06F499","4f","F2","2","F05F335","ped8sire",NULL
"F06F500","3m","F2","1","F05F335","ped8sire",NULL
"F06F501","2m","F2","1","F05F335","ped8sire",NULL
"F06F502","1f","F2","2","F05F335","ped8sire",NULL
"F06F503","6m","F2","1","F05F325","F05F558",NULL
"F06F504","5m","F2","1","F05F325","F05F558",NULL
"F06F505","4m","F2","1","F05F325","F05F558",NULL
"F06F506","3f","F2","2","F05F325","F05F558",NULL
"F06F507","2m","F2","1","F05F325","F05F558",NULL
"F06F508","1f","F2","2","F05F325","F05F558",NULL
"F06F509","4f","F2","2","F05F090","F05F328",NULL
"F06F510","3m","F2","1","F05F090","F05F328",NULL
"F06F511","2f","F2","2","F05F090","F05F328",NULL
"F06F512","1f","F2","2","F05F090","F05F328",NULL
"F06F513","7f","F2","2","F05F332","F05F560",NULL
"F06F514","6f","F2","2","F05F332","F05F560",NULL
"F06F515","5f","F2","2","F05F332","F05F560",NULL
"F06F516","4f","F2","2","F05F332","F05F560",NULL
"F06F517","3m","F2","1","F05F332","F05F560",NULL
"F06F518","2m","F2","1","F05F332","F05F560",NULL
"F06F519","1m","F2","1","F05F332","F05F560",NULL
"F06F520","4f","F2","2","F05F305","F05F336",NULL
"F06F521","3m","F2","1","F05F305","F05F336",NULL
"F06F522","2f","F2","2","F05F305","F05F336",NULL
"F06F523","1f","F2","2","F05F305","F05F336",NULL
"F06F525","5f","F2","2","F05F032","F05F336",NULL
"F06F526","4m","F2","1","F05F032","F05F336",NULL
"F06F527","3f","F2","2","F05F032","F05F336",NULL
"F06F528","2f","F2","2","F05F032","F05F336",NULL
"F06F529","1f","F2","2","F05F032","F05F336",NULL
"F06F530","6m","F2","1","F05F301","F05F560",NULL
"F06F531","5m","F2","1","F05F301","F05F560",NULL
"F06F532","4f","F2","2","F05F301","F05F560",NULL
"F06F533","3f","F2","2","F05F301","F05F560",NULL
"F06F534","2m","F2","1","F05F301","F05F560",NULL
"F06F535","1f","F2","2","F05F301","F05F560",NULL
"F06F536","4f","F2","2","F05F323","F05F563",NULL
"F06F537","3f","F2","2","F05F323","F05F563",NULL
"F06F538","2f","F2","2","F05F323","F05F563",NULL
"F06F539","1m","F2","1","F05F323","F05F563",NULL
"F06F540","3m","F2","1","F05F580","F05F334",NULL
"F06F541","2m","F2","1","F05F580","F05F334",NULL
"F06F542","1f","F2","2","F05F580","F05F334",NULL
"F06F546","1f","F2","2","F05F562","F05F314",NULL
"F06F547","1f","F2","2","F05F579","F05F564",NULL
"F06F817","1m","F2","1","F05F566","F05F564",NULL
"F06F818","2f","F2","2","F05F566","F05F564",NULL
"F06F819","3m","F2","1","F05F566","F05F564",NULL
"F06F820","4f","F2","2","F05F566","F05F564",NULL
"F06F821","5f","F2","2","F05F566","F05F564",NULL
"F06F822","6m","F2","1","F05F566","F05F564",NULL
"F06F823","1m","F2","1","F05F307","F05F320",NULL
"F06F824","2f","F2","2","F05F307","F05F320",NULL
"F06F825","3m","F2","1","F05F307","F05F320",NULL
"F06F826","4m","F2","1","F05F307","F05F320",NULL
"F06F827","5f","F2","2","F05F307","F05F320",NULL
"F06F828","1f","F2","2","F05F319","F05F314",NULL
"F06F829","2f","F2","2","F05F319","F05F314",NULL
"F06F830","3m","F2","1","F05F319","F05F314",NULL
"F06F831","4f","F2","2","F05F319","F05F314",NULL
"F06F832","5f","F2","2","F05F319","F05F314",NULL
"F06F833","6m","F2","1","F05F319","F05F314",NULL
"F06F834","7f","F2","2","F05F319","F05F314",NULL
"F06F835","8f","F2","2","F05F319","F05F314",NULL
"F06F836","1m","F2","1","F05F302","F05F564",NULL
"F06F837","2m","F2","1","F05F302","F05F564",NULL
"F06F838","3m","F2","1","F05F302","F05F564",NULL
"F06F839","4m","F2","1","F05F302","F05F564",NULL
"F06F840","5m","F2","1","F05F302","F05F564",NULL
"F06F841","1f","F2","2","F05F312","F05F336",NULL
"F06F842","2m","F2","1","F05F312","F05F336",NULL
"F06F843","3m","F2","1","F05F312","F05F336",NULL
"F06F844","4f","F2","2","F05F312","F05F336",NULL
"F06F845","5f","F2","2","F05F312","F05F336",NULL
"F06F846","6f","F2","2","F05F312","F05F336",NULL
"F06F847","8m","F2","1","F05F312","F05F336",NULL
"F06F848","1f","F2","2","F05F311","F05F563",NULL
"F06F849","2f","F2","2","F05F311","F05F563",NULL
"F06F850","3m","F2","1","F05F311","F05F563",NULL
"F06F851","4f","F2","2","F05F311","F05F563",NULL
"F06F852","5m","F2","1","F05F311","F05F563",NULL
"F06F853","6m","F2","1","F05F311","F05F563",NULL
"F06F854","7f","F2","2","F05F311","F05F563",NULL
"F06F874","Rifma_06","F1","2","F04F137","F03F355",NULL
"F06F875","Rabinya_06","F1","2","F04F137","F03F355",NULL
"F06F876","Riga_06","F1","2","F04F137","F03F355",NULL
"F06F880","Arkaya_06","F1","2","F05F512","F03F111",NULL
"F06F881","Azhurit_06","F1","1","F05F512","F03F111",NULL
"F06F883","Agdam_06","F1","1","F05F512","F03F111",NULL
"F07F138","1f","F2","2","F05F335","F05F320",NULL
